ሰላም ለኪ	nagaan isiniif haa ta'u
እስመ ዛቲ ይእቲ ፍቅሩ ለእግዚአብሔር ከመ ንዕቀብ ትእዛዞ ወትእዛዙኒ ኢኮነ ክቡደ	waaqayyoon jaallachuu jechuunis abboommota isaa eeguu dha abboommonni isaa immoo ba'aa ulfaatoo miti
አፍላገ ማየ ሕይወት ዘይውኀዝ እምከርሡ ወልድኪ ሣህሎ ይክፍለነ ሰአሊ ለነ ቅድስት	namni xuraa'aa yoo ta'e gara koo koottu dhugi yaa mucaa qulqulluu dhiifama akka nuuf gootu si kadhadha
ወይገለብብዎ ወይጸፍዕዎ ገጾ ወይሴአልዎ ወይብልዎ ተነበይ ለነ መኑ ውእቱ ዘጸፍዐከ	akkasumas ija isaa hidhanii eenyutu si rukute raajii keetiin nutti himi in jedhuun turan
ዘንተ ኵሎ ተናገረ እግዚእ ኢየሱስ በምሳሌ ለአሕዛብ ወዘእንበለ ምሳሌሰ ኢተናገሮሙ	iyyasuuskana hundumaa fakkeenyaan namoota sanatti dubbate fakkeenya malees waan tokko isaanitti hin dubbanne
ወተስእልዎ ወይቤልዎ ሊቅ ማእዜ ይከውን ዝንቱ ወምንት ተአምሪሁ አመ ይከውን ዝንቱ	isaan immoo yaa barsiisaa kun yoom ta'a wanti kun yommuu ta'uudhaaf jedhu immoo milikkinni isaa maali jedhanii isa gaafatan
ወሙሴሂ ቦ እምቀዲሙ ዘይሰብክ ሎሙ በበአህጉር ወያነብብዎ በመኳርብት በኵሉ ሰናብት	durii durii jalqabanii seera musee mandara mandaratti kan lallaban manneen sagadaa keessattis sanbata hundumaatti kan isa dubbisan jiru jedhe
ወተፈኒዎሙ እሙንቱ ወረዱ አንጾኪያ ወአስተጋብኡ ሕዝበ ወመጠውዎሙ መጽሐፈ መልእክት	warri ergaman ka'anii anxokiyaatti gad bu'an achitti tuuta amantootaa walitti qabanii caaffaticha kennaniif
ወምንተኑመ ወፃእክሙ ትርአዩ ነቢየኑ እወ እብለክሙ ውእቱ ፈድፋደ የዐቢ እምነቢያት	egaa maaliif baatan raajii ilaaluudhaafii eyyee isiniinan jedha raajii irra iyyuu kan caaluu dha
ትሬኢኑ ከመ ሃይማኖት ትረድኦ ለገቢር ወበምግባሩ መልአት ወፍጽምተ ኮነት ሃይማኖቱ	kana keessatti amantiin isaa hojii isaa isa gaarii wajjin wal gargaaraa akka ture amantiinis hojiidhaan fiixaan akka baafame in argita
ወዘሰ ክሕደኒ በቅድመ ዕጓለ እመሕያው እክሕዶ አነሂ በቅደመ መላእክተ እግዚአብሔር	garuu namoota duratti kan na ganu ergamoota waaqayyoo duratti in ganama
ኢተአምሩኑ ከመ ታቦቱ ለእግዚአብሔር አንትሙ ወመንፈሰ እግዚአብሔር ኅዱር ላዕሌክሙ	isin mana qulqullummaa waaqayyoo akka taatan hafuurri waaqayyoos isin keessa buufate akka jiru hin beektanii ree
እምአጽናፈ ሰማይ ሙፃኡ ወእስከ አጽናፈ ሰማይ ምእታዉ ወአልቦ ዘይትኀባእ እምላህቡ	andaara bantii samii isa gara tokkootii baatee naannoftee andaara isaa isa gara kaaniitti in lixi ifa ishee isa gubaa duraa kan dhokatus hin jiru
ወአምጽኡ ወአርአይዎ ወይቤሎሙ ዘመኑ መልክዑ ወመጽሐፉ ወአውሥእዎ ወይቤልዎ ዘቄሳር	horii ittiin bittanii gurgurtan tokko anatti argisiisaa bifa eenyuutu caaffata eenyuutus horicha irra jira jennaan isaan immoo kan mooticha warra roomaa ti jedhan
ወነገደ በባሕር ወወረደ ቂሳርያ ወዐርገ ቤተ ክርስቲያን ወተአምኆሙ ወሖረ አንጾኪያ	mandara qiisaariyaatti bu'ee kana booddee yerusaalemitti ol ba'ee waldaa kristiiyaanaa nagaa gaafate darbee anxokiyaa isa sooriyaa keessaatti gad bu'e
ወእምዝ ሐዊሮሙ ቦኡ አሐተ ሀገረ ወተቀበለቶ በቤታ አሐቲ ብእሲት እንተ ስማ ማርታ	iyyasuusbartoota isaa wajjin adeemsa isaa itti fufee gara ganda tokkoo yommuu dhufe dubartiin maartaa jedhamtu mana isheetti isa simte
ወበልዑ ወጸግቡ ኵሎሙ ወዘአግኀሡ ዘተርፈ ፍተታት መልአ ዐሠርተ ወክልኤተ መሣይምተ	hundumti isaaniis nyaatanii quufan bartoonni immoo hurraa hafe walitti qabanii gundoo kudha lama guutan
ለይትኀፈሩ ወይኅሰሩ ኵሎሙ ጸላእትየ ለይግብኡ ድኅሬሆሙ ወይትኀፈሩ ፈድፋደ ወፍጡነ	diinonni koo hundinuu in yeellaasifamu sodaadhaanis baay'ee in raafamu isaan of irra in gara galu achumaanis in yeellaasifamu
አንቲ ውእቱ ዘመድ ዘእምሥርወ ዳዊት ወለደኪ ለነ በሥጋ መድኃኒነ ኢየሱስ ክርስቶስ	ati amala daawit ti sababni isaas fayyisaa keenya iyyasuus kiristoos fooniin waan deesseef
ወወሀቦ ያዕቆብ ለዔሳው ኅብስተ ወትብሲለ ብርስን ወበልዐ ወሰትየ ወተንሥአ ወሖረ	yommus yaaqoob buddeenaa fi ittoo misiraa sana esaawuuf in kenne innis nyaatee dhugee ka'ees karaa isaa irra in bu'e esaawuun akkasitti angafummaa isaa in tuffate
ወይቤ እምኀበ ነኪር ወይቤሎ እግዚእ ኢየሱስ እንጋ ውሉዶሙሰኬ አግዓዝያንኑ እሙንቱ	warra ormaa irraa fudhatu jennaan iyyasuusimmoo yoos namoonni isaanii hin gaafataman kaa
ወከመዝ ይእቲ ልደቱ ለይስማኤል ወልዱ ለአብርሃም ዘወለደት ሎቱ አጋር አመተ ሳራ	hiddi dhaloota sanyii ishmaa'el isa aggaar xomboreen saaraa isheen nama biyya gibxii sun abraamiif deesse kanatti fufee in lakkaa'ama
በእንተዝ ኢንፈርህ ለእመ አድለቅለቀት ምድርወእመኒ ፈለሱ አድባር ውስተ ልበ ባሕር	kanaafis lafti yoo diddiiramte iyyuu tulloonnis hurgufamanii galaana walakkaa yoo buufaman iyyuu nuyi hin sodaannu
ለብዉ ዘንተ ኵልክሙእለ ትረስዕዎ ለእግዚአብሔርወእመአኮሰ ይመስጥ ወአልቦ ዘያድኅን	egaa isin warri ana waaqayyoon irraanfattan kana hubadhaa kanaa achi ani nan tatarsaasa namni tokko illees kan oolchu hin jiru
እብለክሙ ከመ ሰዶም ትኄይስ ወትረክብ ሣህለ ፈድፋደ እምይእቲ ሀገር በዕለተ ደይን	guyyaa sanatti firdiin warra sodoom kan mandara kanaa irra akka salphatu isinittan hima jedhe
ወፈትሑ ዕዋለ ወእንዘ ይፈትሑ ዕዋለ ይቤልዎሙ አጋእዝቲሁ ለምንት ትፈትሕዎ ለዕዋል	utuu isaan ilmoo harree yaabbii sana hiikuutti jiranii warri horii kanaa maaliif ilmoo harree kana hiiktu jedhanii isaan gaafatan
ወትቤ እወ እግዚኦ ከለባትኒ ጓ ይበልዑ እምፍርፋራት ዘይወድቅ እማእደ አጋዕዝቲሆሙ	isheen eyyee yaa gooftaa haa ta'u iyyuu malee saroonnis maaddii gooftota isaanii irraa isa harca'u in nyaatu jette
ይቤ እንከሰ በጺሖሙ መስተዋድያን ንሰምዐከሙ ወአዘዘ ይዕቀብዎ ኀበ ምኵናነ ሄሮድስ	warri si hammeessan erga as ga'anii dubbii kee nan ilaala ittiin jedhee mana herodis ijaarsise keessatti akka eegamu abboome
ወይቤሎሙ እብለክሙ ለኵሉ ዘቦ ይሁብዎ ወይዌስክዎ ወለዘሰ አልቦ እለሂ ቦ የሀድይዎ	ani isinittan hima isa fudhatee waa qabu hundumaaf itti dabalamee in kennama kana kan hin qabne garuu innumti inni qabu iyyuu isa duraa in fudhatama
ወአውሥኡ አዝማዲሁ ወይቤሉ ነአምር ከመ ዝንቱ ውእቱ ወልድነ ወከመሂ ዕዉሩ ተወልደ	abbaan isaa fi haati isaa deebisanii akka inni ilma keenya ta'e jaamaa ta'ees akka dhalate in beekna
አሜሃ መቃብራት ይትከሠታ ወሙታን እለ በልዩ ዘዕምዓለም ይትነሥኡ ከመቅጽበተ ዓይን	sana booda awwaalli ni banama warri duan erga addunyaan uumamtee kufan dafanii fi ija tokkoon ni kau
ወእመሰ እንበይነ መብልዕ ይስሕት ቢጽየ ኢይበልዕ ሥጋ ለዝሉፉ ከመ ኢያስሕት ቢጽየ	kanaafis nyaata akkasiitti dhi'aachuun sababii obboleessa koo kuffisu yoo ta'e ani obboleessa koo akkan hin kufifnetti matumaa deebi'ee foon hin nyaadhu
ወአንሰ በብዝኀ ምሕረትከ እበውእ ቤተከ ወእሰግድ ውስተ ጽርሐ መቅደስከ በፍሪሆትከ	ani garuu gaarummaa kee isa baay'eedhaan gara mana keetti ol galuun anaaf kennameera ulfinaan si sodaachuudhaanis gara mana qulqullummaa keetti gara galee kufee siif nan sagada
ወአእመርዎ ሰብአ ውእቱ ብሔር ወፈነዉ ኀበ ኵሉ አድያም ወአምጽኡ ሎቱ ኵሎ ሕሙማነ	namoonni iddoo sanaa immoo isa ta'uu baranii naanna'aa sana hundumaatti erganii warra dhukkubsachaa turan hundumaa gara isaatti fidan
ወዐውየዉ ኵሎሙ ኅቡረ በምልኦሙ ወይቤሉ አእትቶ ወስቅሎ ለዝ ወአሕዩ ለነ በርባንሃ	namoonni sun hundinuu nama kana balleessiitii barabbaa gad nuuf dhiisi jedhanii itti iyyan
ኣእምሩ ከመ ተሰብሐ እግዚአብሔር በጻድቁ እግዚአብሔር ይሰምዐኒ ሶበ ጸራኅኩ ኀቤሁ	garuu waaqayyo warra kan isaa ta'an addaan akka baafate beekaa waaqayyo yeroo ani isa waammadhutti anaaf in dhaga'a
ወይቤሎሙ ቶማስ ዘይብልዎ ዲዲሞስ ለቢጹ አርዳእ ንሑርኬ ንሕነኒ ከመ ንሙት ምስሌሁ	toomaas inni diidimos jedhame immoo egaa kottaa in dhaqna nuyis barsiisaa wajjin in duunaa jedhee bartoota warra kaanitti dubbate
ወአንሰ እትፌሣሕ በእንቲኣክሙ እስመ ኢሀሎኩ ህየ ከመ ትእመኑ ወባሕቱ ንሑር ኀቤሁ	isin amanuu akka dandeessaniif baga ani achi hin jiraatin amma garuu kottaa gara isaa in dhaqnaa isaaniin jedhe
ወበውእቱ መዋዕል ዐቢይ ሁከት ኮነ በእንተዝ ትምህርት ላዕለ እለ አምኑ በእግዚእነ	yeroo kana keessa waa'ee barsiisa karaa kristiiyaanaatiif mandara efesoonitti gooliin guddaan in ka'e
ወዐውየዉ በዐቢይ ቃል ወሰአሉ ወይቤሉ ይስቅልዎ ወኀየለ ቃሎሙ ወቃለ ሊቃነ ካህናት	isaan garuu akka inni fannifamuuf sagalee guddaadhaan jabeessanii kadhatan iyyi jaraas harka fudhate
አንተኑ ተዐቢ እምአብርሃም አቡነ ዘሞተ ወእምነቢያትኒ እለ ሞቱ መነ ትሬሲ ርእሰከ	ati egaa abbaa keenya abrahaam isa du'e irra in caaltaa ree raajonnis du'aniiru ati eenyu of seeta jedhaniin
ወይቤሎሙ እግዚእ ኢየሱስ ቦ ዘገሠሠኒ እስመ አነ አአምር ከመ ኀይል ወፅአ እምኔየ	iyyasuusgaruu lakkii namni na tuqe jira humni fayyisu akka na biraa ba'e anatti dhaga'ameera jedhe
ወገሠጽዎ እለ ይመርሕዎ ከመ ያርምም ወዐውየወ ፈድፋደ ወይቤ ወልደ ዳዊት ተሣሀለኒ	warri fuula dura adeeman immoo calluma jechisiisuuf isa ifatan inni garuu ittuma caalchisee iyyee ilma daawit na maari jedhe
ወተሰጥውዎ አይሁድ ወይቤልዎ አኮኑ ሠናየ ንቤለከ ከመ ሳምራዊ አንተ ወጋኔንከ ብከ	yihudoonni immoo deebisanii ati nama samaariyaa ti hafuurri hamaanis si keessa jira siin jechuun keenya qajeelaa ture mitii jedhaniin
ወደቂቀ ምድያም ጌፌር ወአፉር ወሄኖኅ ወአቤሮን ወቲያራሶ እሉ ኵሎሙ ደቂቀ ኬጡራ	ilmaan miidiyaan immoo efaa efer henok abiidaa elda'aa turan isaan kun hundinuu ijoollee warra qexuuraan hortee dha
ወሶቤሃ ሰፍሐ እዴሁ እግዚእ ኢየሱስ ወአኀዞ ወይቤሎ ውኁደ ሃይማኖት ለምንት ናፈቀ	iyyasuusachumaan harka isaa hiixatee isa qabee yaa namicha amantii hir'uu maaliif mamte jedheen
አስተማሰልናኪ ቅድስት ወብፅዕት ስብሕት ወቡርክት ክብርት ወልዕልት በመሶበ ዘወርቅ	ati adda fi gara laafessa galateeffamta eebbifamta ol hin kaafamne buddeenni jireenyaa bakka warqee jirutti si fakkeessine
አዋልደ ነገሥት ለክብርከወትቀውም ንግሥት በየማንከበአልባሰ ወርቅ ዑጽፍት ወሑብርት	intaloonni moototaa warra si biratti ulfina argatan keessa jiru misirroon warqee biyya ofiir naqattes gara mirga kee in dhaabatti
ናሁ ተባጻሕክምዎሙ ለእሉ ሰብእ ዘኢሰረቁ ቤተ አማልክቲነ ወኢፀረፉ ዲበ አማልክቲነ	ammas isin jarreen kana as fiddaniittu isaan garuu mi'a galma ishee hin saamne yookiis waaqayyittii hin arabsine
ወአራምኒ ወለደ አሚናዳብሃ ወአሚናዳብኒ ወለደ ነአሶንሃ ወነአሶንኒ ወለደ ሰልሞንሃ	aaram aminaadaabin dhalche aminaadaab nahasonin dhalche nahason salmoonin dhalche
ወይቤልዎ አርዳኢሁ እምአይቴ እንከ ለነ በገዳም ኅብስት ዘያጸግብ ለዘመጠነዝ ሕዝብ	kana irratti bartoonni isaa as lafa onaa kanatti buddeena tuuta guddaa kana quufsu eessaa arganna ree jedhaniin
ዘንጹሕ ልቡ ወንጹሕ እደዊሁወዘኢነሥአ ከንቶ ላዕለ ነፍሱወዘኢመሐለ በጕሕሉት ለቢጹ	isa harki isaa hin xuraa'in garaan isaas qullaa'aa ta'e isa yaada isaa wanta sobaa duukaa hin kaafne isa sobaan hin kakannee dhas
ወእሴይኒ ወለደ ዳዊትሃ ንጉሠ ወዳዊትኒ ንጉሥ ወለደ ሰሎሞንሃ እምነ ብእሲተ ኦርዮ	isey daawit mooticha dhalche daawit haadha manaa uriiyaa irraa solomoonin dhalche
ወይጸርሑ በቃል ዐቢይ ወይብሉ ፍርቃን ለአምላክነ ለዘይነብር ዲበ መንበሩ ወለበግዑ	jarri kunis sagalee guddaadhaan fayyinni waaqayyo keenya isa teessicha irra taa'u biraa hoolicha biraas in argama jedhan
ወነጸርኩ ወርኢኩ በውስቴቱ እንስሳ ወአርዌ ገዳም ወኵሎ ዘይትሐወስ ወአዕዋፈ ሰማይ	hubadhee yommuun ilaales bineensa lafa irraa miilla afur qaban bineensota wal nyaatan kan munyuuqan qilleensa keessa kan balali'anis isa keessatti nan arge
ወእሙንቱሰ የአብዱ ፈድፋደ ወተማከሩ በበይናቲሆሙ ዘከመ ይሬስይዎ ለእግዚእ ኢየሱስ	isaan garuu baay'ee aaran achumaanis yesusin maal gochuu akka danda'an walii wajjin mari'atan
ሶበ ትሬእይዎ ለእግዚእክሙ ይቀንት ወያንሶሱ ምስሌክሙ ወይሜጥወክሙ ዘዚኣሁ ሀብታተ	gooftaan kee hidhatee si waliin deemee qabeenya isaa yeroo siif kennu argitu ulfina argatta
ወሰምዑ ሐዋርያት ወቢጾሙሂ እለ ብሔረ ይሁዳ ከመ ተወክፉ አሕዛብ ቃለ እግዚአብሔር	ergamoonnii fi obboloonni yihudaa jiranis warri saba waaqayyoo hin ta'in iyyuu dubbii waaqayyoo akka fudhatan dhaga'an
ወእመሰ ትፌጽሙ ሕገ በከመ ይብል መጽሐፍ አፍቅር ቢጸከ ከመ ነፍስከ ሠናየ ትገብሩ	seera mootichaan kenname akka caaffanni qulqullaa'aan nama akka ofii keetiitti jaalladhu jedhutti yoo raawwattan ba'eessa gochuu keessan
እብለክሙ ኢይሰቲ እንከ እምዝንቱ ፍሬ ወይን እስከ ትመጽእ መንግሥተ እግዚአብሔር	ammaa jalqabee mootummaan waaqayyoo hamma dhufutti daadhii waynichaattii akka ani hin dhugne isinittan hima jedhe
ወዖዝያንኒ ወለደ ኢዮአታምሃ ወኢዮአታምኒ ወለደ አካዝሃ ወአካዝኒ ወለደ ሕዝቅያስሃ	oziyaas yoataamin dhalche yoataam akaazin dhalche akaaz hizqiyaasin dhalche
እስመ ኢሐለዩ ውስተ ግብረ እግዚአብሔር ወኢውስተ ግብረ እደዊሁንሥቶሙ ወኢትሕንጾሙ	isaan gocha waaqayyoo yookiis isa harki isaa hojjete waan hin ilaalleef inni isaan in diiga malee deebi'ee isaan hin ijaaru
ወደንገፁ ኵሎሙ ወአእኰትዎ ለእግዚአብሔር ወፈርሁ ብዙኀ ወይቤሉ ርኢነ መንክረ ዮም	yommus hundumti isaanii abjuu ta'anii waaqayyoof hooqubaa dhi'eessan naasuunis isaan qabate har'a dinqii takkaa hin ta'in argine jedhan
ወትወልድ ወልደ ወትሰምዮ ስሞ ኢየሱስሃ እስመ ውእቱ ያድኅኖሙ ለሕዝቡ እምኀጢአቶሙ	isheen ilma in deessi atis maqaa isaa yesus jettee in moggaafta inni ofii isaatii saba isaa cubbuu isaaniittii isaan in fayyisa jedheen
ወለእመ ወፅአ እሳት ወአኀዘ ገዳመ ወአውዐየ ዐጸደ ወእመሂ ክምረ ዘአውዐየ ይፈዲ	yoo ibiddi bobae yoo qoree qabate yoo tuullaa yookiin midhaan hin sassaabamne yookiin maasii yoo gube sana booda namni ibidda qabsiise ni adabama
ቃለ እግዚአብሔር ያጸንዖሙ ለኀየላት ወይከሥት አዕዋመ ወበጽርሑ ኵሉ ይብል ስብሐት	sagaleen waaqayyoo qilxuu of irra in naannessa mukeetii caakkaa irraas baalaa fi damee in cira mana qulqullummaa isaa keessatti immoo hundinuu hooqubaa in dhi'eessu
ኵሉኬ ዘይሰምዕ ዘንተ ቃልየ ወይገብሮ ይመስል ብእሴ ጠቢበ ዘሐነጸ ቤቶ ዲበ ኰኵሕ	yesus egaa namni dubbii koo dhaggeeffatee akka isaatti hojjetu hundinuu nama ogeessa mana isaa dhagaa irratti ijaarratetti in fakkeeffama
ዑቁ ርእሰክሙ ለእመ አበሰ ለከ እኁከ ገሥጾ በባሕቲትከ ወለእመሰ ነስሐ ኅድግ ሎቱ	ofii keessanii of eeggadhaa obboleessi kee yoo si yakke jabeessi isa gorsi inni yoo yaada garaa isaa geddaratee dhiisiif
ወይቤልዎ አይሁድ ለዘሐይወ ሰንበት ውእቱ ዮም ወኢይከውነከ ትንሣእ ወትጹር ዐራተከ	yommus warri yihudootaa namicha fayye sanaan har'i sanbata siree baachuu seerri si dhowwa jedhan
ትፍርሆ ለእግዚአብሔር ኵላ ምድርወእምኔሁ ይደንግፁ ኵሎሙ እለ ይነብሩ ውስተ ዓለም	addunyaa guutummaatti waaqayyoon haa sodaatu namoonni lafa irra jiraatan hundinuu isaaf safuu haa buufatan
ወአውሥአ መስፍን ወይቤሎሙ መነ ትፈቅዱ እምክልኤሆሙ አሕዩ ለክሙ ወይቤሉ በርባንሃ	bulchaan biyyaa immoo isaan lamaan keessaa eenyuun akkan gad isiniif dhiisu barbaaddu jedhee isaan gaafate isaan immoo barabbaa gad nuuf dhiisi jedhan
ወትቤ መኑ እምዜነዎ ሊተ ለአብርሃም ከመ ተሐፅን ሳራ ሕፃነ ዘወለደት በርሥአቲሃ	itti dabaltees saaraan mucaa hoosisuuf jetti jedhee abrahaamitti himuu eenyutu yaade ree ani garuu bara dulluma isaatti ilma da'eeraaf jette
ወእምዝ አልዐለ ማዕጸዶ ውእቱ ዘይነብር ውስተ ደመና ላዕለ ምድር ወተዐጽደት ምድር	kana irratti inni duumessicha irra taa'e haamtuu isaa biyya lafaatti kaa'ee isa cire addunyaas in haamame
ወወፅአ ካልእ መልአክ እምነ መቅደሱ ዘውስተ ሰማይ ወይጸውር ውእቱኒ ማዕጸደ በሊኀ	ammas ergamaan biraa tokko mana qulqullummaa isa waaqa irraa keessaa in ba'e innis immoo haamtuu qaramaa of harkaa qaba ture
እስመ መዐልተ ወሌሊተ ከብደት እዴከ ላዕሌየወተመየጥኩ ለሕርትምና ሶበ ወግዐኒ ሦክ	guyyaa fi halkan harki kee waan anatti ulfaateef humni koo akka waan ho'i bonaa rukutetti na keessatti in goge
ወዝንቱ ካዕበ ዳግሙ ለእግዚእ ኢየሱስ ዘገብረ ተኣምረ መጺኦ እምይሁዳ ውስተ ገሊላ	iyyasuusyihudaadhaa gara galiilaatti erga deebi'ee kanaan milikkita lammaffaa gochuu isaa ti
ፈነወት ዘዚኣሃ አግብርተ በዋኅ ስብከት እንዘ ትብል ዘአብድ ውእቱ ይትገሃሥ ኀቤየ	namichi dadhabaan gara koo haa dhufu jettee lallaba dheeraadhaan tajaajiltoota ishee ergite warra beekumsa horatan ni waamti
